bird,song
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm E3 side_B 05-04-06_002105.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm F side_B 05-04-06_002220.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm F2 side_B 05-04-06_002342.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm F3 side_B 05-04-06_002447.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm G side_B 05-04-06_003454.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm G2 side_B 05-04-06_003308.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm G3 side_B 05-04-06_003512.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm H side_B 05-04-06_003535.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm H2 side_B 05-04-06_003622.wav
azrm rep and soundfiles,/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/azrm rep and soundfiles/azrm H3 side_B 05-04-06_003628.wav
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm A,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm A2,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm B2,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm B3,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm B4 ,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm B5,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm C,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm C2,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm C3,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm C4,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm D,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm D2,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm D3,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm D4,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm D5,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm D6,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm E,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm E2,bagm and omar(ub)012007.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm E4,miyp etc 013107partial scan.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm F,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm F2,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm F3,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm F4,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm F5,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm F6,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm F7,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm G,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm G2,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm H,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm H2,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm I2,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm I3,021207 hmhy miyp bagm woodpile scanned.wav"
bagm rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bagm rep and soundfiles/bagm I4,021207 hmhy miyp bagm woodpile scanned.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr A,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr A2,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr A3,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr A4,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr A5,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B10,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B11,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B12,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B13,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B2,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B3,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B4,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B5,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B6,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B7,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B8,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr B9,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr C2,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr C3,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr C4,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr C6,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr D,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr D2,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr D3,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr D4,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr D5,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr D6,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr DC,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr E,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr E10,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr E11,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr E12,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr E7,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr E8,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr E9,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr F,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr F10,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr F11,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr F4,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr F5,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr F6,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr F9,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr G,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr G3,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr G5,bgmr-070502.wav"
bgmr rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmr rep and soundfiles/bgmr H,bgmr-070502.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy A,bgmy mayy feb 14.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy A2,bgmy mayy feb 14.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy A3,bgmy mayy feb 14.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy A4,bgmy mayy feb 14.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy B2,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy B3,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy B4,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C10,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C11,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C2,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C3,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C4,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C5,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C6,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C7,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C8,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy C9,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy D3,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy D4,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy D5,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy D6,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy D7,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy D8,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy E,bgmy_mwoo_mayy_mgyo_070214.wav"
bgmy partial rep and soundfiles,"/Users/erdemdemir/Desktop/animal-sound-classifier-on-cloud-GUI-Final-Commits/venv/bird-sounds/bgmy partial rep and soundfiles/bgmy E2,bgmy_mwoo_mayy_mgyo_070214.wav"
